nombre,continente,poblacion,superficie
Islas Marshall,Oceanía,42000,181
Islas Salomón,Oceanía,750000,28896
Israel,Asia,9890000,22145
Italia,Europa,58700000,301340
Jamaica,América del Norte,2800000,10991
Japón,Asia,122631000,377975
Jordania,Asia,11500000,89342
Kazajistán,Asia,19800000,2724900
Kenia,África,56400000,580367
Kirguistán,Asia,7100000,199951
Kiribati,Oceanía,131232,811
Kosovo,Europa,1800000,10908
Kuwait,Asia,4300000,17818
Laos,Asia,7600000,236800
Lesoto,África,2300000,30355
Letonia,Europa,1883100,64589
Líbano,Asia,5200000,10452
Liberia,África,5500000,111369
Libia,África,7500000,1759540
Liechtenstein,Europa,39820,160
Lituania,Europa,2800000,65300
Luxemburgo,Europa,670000,2586
Madagascar,África,31200000,587041
Malasia,Asia,34400000,330803
Malaui,África,21700000,118484
Maldivas,Asia,580000,300
Mali,África,24000000,1240192
Malta,Europa,540000,316
Marruecos,África,38000000,446550
Mauricio,África,1300000,2040
Mauritania,África,5200000,1030700
México,América del Norte,132646700,1964375
Micronesia,Oceanía,115000,702
Moldavia,Europa,2500000,33846
Mónaco,Europa,39810,2
Mongolia,Asia,3500000,1564116
Montenegro,Europa,620000,13812
Mozambique,África,33700000,799380
Namibia,África,2900000,824292
Nauru,Oceanía,12500,21
Nepal,Asia,31000000,147181
Nicaragua,América del Norte,7100000,130373
Níger,África,28000000,1267000
Nigeria,África,230842743,923768
Noruega,Europa,5500000,385207
Nueva Zelanda,Oceanía,5300000,268021
Omán,Asia,4700000,309500
Países Bajos,Europa,17900000,41850
Pakistán,Asia,245209815,881913
Palaos,Oceanía,18000,459
Panamá,América del Norte,4400000,75417
Papúa Nueva Guinea,Oceanía,10500000,462840
Paraguay,América del Sur,6900000,406752
Perú,América del Sur,34800000,1285216
Polonia,Europa,37900000,312696
Portugal,Europa,10300000,92090
Reino Unido,Europa,68045391,243610
República Centroafricana,África,6100000,622984
República Checa,Europa,10500000,78866
República Democrática del Congo,África,109300000,2344858
República Dominicana,América del Norte,11400000,48671
Ruanda,África,14500000,26338
Rumanía,Europa,19000000,238391
Rusia,Europa,144030646,17098246
Samoa,Oceanía,225000,2842
San Marino,Europa,33600,61
Senegal,África,18300000,196722
Serbia,Europa,6600000,88361
Seychelles,África,100000,452
Sierra Leona,África,8900000,71740
Singapur,Asia,6010000,710
Siria,Asia,23200000,185180
Somalia,África,18600000,637657
Sri Lanka,Asia,22000000,65610
Sudáfrica,África,61000000,1221037
Sudán,África,48200000,1886068
Sudán del Sur,África,11000000,644329
Suecia,Europa,10600000,450295
Suiza,Europa,8800000,41277
Surinam,América del Sur,620000,163820
Tailandia,Asia,71800000,513120
Taiwán,Asia,23500000,36197
Tanzania,África,68100000,945087
Tayikistán,Asia,10400000,143100
Timor Oriental,Asia,1400000,14874
Togo,África,9500000,56785
Tonga,Oceanía,105000,748
Trinidad y Tobago,América del Norte,1400000,5131
Túnez,África,12300000,163610
Turkmenistán,Asia,7200000,488100
Turquía,Asia,87000000,783562
Tuvalu,Oceanía,11300,26
Ucrania,Europa,43700000,603500
Uganda,África,48600000,241038
Uruguay,América del Sur,3450000,176215
Uzbekistán,Asia,35200000,447400
Vanuatu,Oceanía,340000,12189
Venezuela,América del Sur,29000000,916445
Vietnam,Asia,99000000,331212
Yemen,Asia,34500000,527968
Yibuti,África,1150000,23200
Zambia,África,21200000,752618
Zimbabue,África,16900000,390757
